TIME,lat,lon,alt,eph,epv,vel,vn,ve,vd,cog,satellites_visible,id,yaw
1702378423797452,476414679,-1221401649,121321,78,78,0,0,0,0,0,15,0,0
1702378423809452,476414679,-1221401649,121321,76,76,0,0,0,0,0,15,0,0
1702378423830453,476414679,-1221401649,121321,75,75,0,0,0,0,0,15,0,0
1702378423851453,476414679,-1221401649,121321,73,73,0,0,0,0,0,15,0,0
1702378423872454,476414679,-1221401649,121321,72,72,0,0,0,0,0,15,0,0
1702378423893454,476414679,-1221401649,121321,70,70,0,0,0,0,0,15,0,0
1702378423914455,476414679,-1221401649,121321,69,69,0,0,0,0,0,15,0,0
1702378423935455,476414679,-1221401649,121321,67,67,0,0,0,0,0,15,0,0
1702378423956455,476414679,-1221401649,121321,66,66,0,0,0,0,0,15,0,0
1702378423977456,476414679,-1221401649,121321,65,65,0,0,0,0,0,15,0,0
1702378423998456,476414679,-1221401649,121321,64,64,0,0,0,0,0,15,0,0
1702378424019457,476414679,-1221401649,121321,62,62,0,0,0,0,0,15,0,0
1702378424040457,476414679,-1221401649,121321,61,61,0,0,0,0,0,15,0,0
1702378424061458,476414679,-1221401649,121321,60,60,0,0,0,0,0,15,0,0
1702378424082458,476414679,-1221401649,121321,59,59,0,0,0,0,0,15,0,0
1702378424103459,476414679,-1221401649,121321,58,58,0,0,0,0,0,15,0,0
1702378424124459,476414679,-1221401649,121321,56,56,0,0,0,0,0,15,0,0
1702378424145459,476414679,-1221401649,121321,55,55,0,0,0,0,0,15,0,0
1702378424166460,476414679,-1221401649,121321,54,54,0,0,0,0,0,15,0,0
1702378424187460,476414679,-1221401649,121321,53,53,0,0,0,0,0,15,0,0
1702378424208461,476414679,-1221401649,121321,52,52,0,0,0,0,0,15,0,0
1702378424229461,476414679,-1221401649,121321,51,51,0,0,0,0,0,15,0,0
1702378424250462,476414679,-1221401649,121321,50,50,0,0,0,0,0,15,0,0
1702378424271462,476414679,-1221401649,121321,49,49,0,0,0,0,0,15,0,0
1702378424292463,476414679,-1221401649,121321,48,48,0,0,0,0,0,15,0,0
1702378424313463,476414679,-1221401649,121321,48,48,0,0,0,0,0,15,0,0
1702378424334464,476414679,-1221401649,121321,47,47,0,0,0,0,0,15,0,0
1702378424355464,476414679,-1221401649,121321,46,46,0,0,0,0,0,15,0,0
1702378424376464,476414679,-1221401649,121321,45,45,0,0,0,0,0,15,0,0
1702378424397465,476414679,-1221401649,121321,44,44,0,0,0,0,0,15,0,0
1702378424418465,476414679,-1221401649,121321,43,43,0,0,0,0,0,15,0,0
1702378424439466,476414679,-1221401649,121321,43,43,0,0,0,0,0,15,0,0
1702378424460466,476414679,-1221401649,121321,42,42,0,0,0,0,0,15,0,0
1702378424481467,476414679,-1221401649,121321,41,41,0,0,0,0,0,15,0,0
1702378424502467,476414679,-1221401649,121321,40,40,0,0,0,0,0,15,0,0
1702378424523468,476414679,-1221401649,121321,40,40,0,0,0,0,0,15,0,0
1702378424544468,476414679,-1221401649,121321,39,39,0,0,0,0,0,15,0,0
1702378424565468,476414679,-1221401649,121321,38,38,0,0,0,0,0,15,0,0
1702378424586469,476414679,-1221401649,121321,38,38,0,0,0,0,0,15,0,0
