TIME,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,abs_pressure,diff_pressure,pressure_alt,temperature
1703454203240314,-0.016218,0.001813,-9.817674,0.000053,0.001441,-0.001938,0.240404,0.026110,0.364697,998.659058,0.000000,122.122551,0.000000
1703454203243293,0.001790,-0.026744,-9.784222,0.002633,0.003406,-0.000099,0.240404,0.026110,0.364697,998.659058,0.000000,122.122551,0.000000
1703454203246310,-0.025835,0.040281,-9.725333,0.000583,-0.000616,0.000374,0.240404,0.026110,0.364697,998.659058,0.000000,122.122551,0.000000
1703454203249126,-0.044427,-0.055605,-9.700198,0.000752,-0.001609,-0.000455,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203252311,-0.007959,0.011607,-9.819326,-0.002051,-0.000539,-0.000726,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203255272,-0.013054,-0.055229,-9.756566,-0.000923,0.001503,0.001609,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203258296,-0.021610,0.005930,-9.781871,-0.001032,-0.001085,0.000863,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203261462,0.024844,-0.043533,-9.790918,0.003873,-0.001132,0.000540,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203264224,-0.005532,-0.060849,-9.860560,0.001212,-0.002355,-0.001238,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203267358,0.026440,0.013919,-9.919151,0.000206,0.001498,-0.001307,0.249033,0.038461,0.368614,998.681458,0.000000,121.932404,0.000000
1703454203270336,-0.022021,-0.058667,-9.832801,-0.000905,-0.001948,0.000159,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203273262,0.003331,-0.037319,-9.832376,0.001113,-0.001891,-0.000415,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203276308,0.002119,-0.038534,-9.815904,-0.001045,0.000043,-0.000641,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203279307,-0.022040,-0.018191,-9.891922,-0.000246,-0.000996,0.001686,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203282264,0.047751,-0.004225,-9.842616,-0.000527,0.002564,0.000608,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203285271,-0.038983,0.022613,-9.839128,-0.000977,-0.002205,0.000770,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203288279,0.013361,-0.017074,-9.813084,0.002373,-0.002083,-0.002673,0.251475,0.026879,0.361370,998.589172,0.000000,122.711487,0.000000
1703454203291309,-0.062695,-0.025864,-9.846903,-0.000059,0.001145,0.001274,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203294345,0.014385,-0.004535,-9.806034,-0.001070,-0.001038,-0.000595,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203297254,-0.059342,-0.050899,-9.798165,0.000223,-0.000828,0.001209,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203300264,-0.012784,-0.075171,-9.751760,0.001204,-0.002999,0.001683,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203303264,0.046960,0.005952,-9.717708,0.000772,-0.000157,0.000838,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203306215,-0.059897,0.066012,-9.729289,-0.001830,0.002240,-0.000703,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203309267,0.053869,0.017779,-9.805957,0.002101,0.000042,0.001802,0.251973,0.033732,0.361385,998.653503,0.000000,122.170090,0.000000
1703454203312240,-0.060250,-0.020221,-9.761711,0.002571,-0.002087,0.001052,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203315216,-0.009867,0.031136,-9.855539,0.001635,0.002578,0.000866,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203318332,0.010723,-0.008212,-9.845050,-0.000515,0.001182,-0.000428,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203321160,0.012795,0.025481,-9.828259,0.001432,-0.000965,-0.000329,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203324209,-0.009238,0.018826,-9.804629,-0.000406,-0.002659,-0.001014,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203327275,0.091083,-0.008964,-9.720372,-0.001888,-0.002799,-0.004206,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203330175,0.058061,-0.012671,-9.761163,-0.000412,0.000735,0.001251,0.247419,0.039482,0.366160,998.644287,0.000000,122.246674,0.000000
1703454203333269,-0.041850,-0.043688,-9.865026,-0.001524,0.000869,0.001964,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203336192,-0.063971,0.047953,-9.764605,0.001643,0.001366,-0.001611,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203339253,0.035131,-0.020184,-9.818708,-0.000919,0.000201,0.001644,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203342236,-0.016296,0.007105,-9.742002,0.002019,-0.000684,-0.002360,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203345200,0.017918,0.042429,-9.768303,-0.001424,-0.001008,0.000674,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203348292,-0.068339,0.054251,-9.897756,0.000509,0.000909,-0.000491,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203351182,-0.097330,-0.089332,-9.818820,0.002959,0.001728,-0.002326,0.239803,0.029464,0.364835,998.625610,0.000000,122.405136,0.000000
1703454203354358,-0.013789,-0.035012,-9.812518,-0.001771,0.002753,-0.001338,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203357290,0.023352,0.040413,-9.845076,0.002361,0.003178,0.002303,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203360237,0.037320,0.005312,-9.874134,-0.000866,0.003357,0.000544,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203363251,0.004026,-0.029706,-9.783854,-0.001839,0.000937,0.003259,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203366220,-0.024645,0.010834,-9.793177,0.001466,0.000003,0.000695,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203369337,0.054855,-0.005231,-9.757232,-0.000562,0.000844,0.001402,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203385949,0.047669,0.022903,-9.859503,-0.001467,-0.000582,-0.001570,0.247213,0.035486,0.367690,998.637268,0.000000,122.304779,0.000000
1703454203386042,-0.006983,-0.022599,-9.824804,0.000764,-0.000022,-0.001981,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203386074,-0.032387,-0.013148,-9.842777,0.000864,-0.000618,-0.001548,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203386083,-0.025796,0.123555,-9.785213,-0.000510,-0.000973,-0.001241,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203386091,-0.034392,-0.016989,-9.830918,0.000931,-0.000226,-0.001304,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203387287,-0.002543,0.060710,-9.709535,0.000374,-0.002604,-0.000566,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203390305,-0.010084,-0.016100,-9.766678,-0.002252,0.001956,-0.001109,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203393354,-0.060274,0.079382,-9.831361,0.001270,-0.000611,-0.002640,0.248377,0.036154,0.368731,998.669678,0.000000,122.032761,0.000000
1703454203396337,-0.040055,-0.060805,-9.816480,0.000806,0.000844,0.001628,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203399284,-0.020775,-0.003722,-9.844341,0.001049,-0.000590,-0.001281,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203402286,0.007988,-0.013624,-9.791857,-0.001902,0.003466,0.000844,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203405319,0.047434,0.030904,-9.817334,-0.000237,-0.001618,-0.000081,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203408242,-0.027777,-0.032186,-9.806998,0.000965,0.002097,-0.002964,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203411297,-0.043804,0.031300,-9.796049,0.000857,-0.001684,0.001245,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203414230,-0.006779,-0.051733,-9.766507,-0.000580,0.000630,-0.000500,0.254910,0.033626,0.365938,998.665894,0.000000,122.064453,0.000000
1703454203417281,0.003449,0.019374,-9.786868,0.000080,-0.000783,-0.000554,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203420335,-0.036612,-0.055426,-9.762620,-0.001240,0.001368,0.002038,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203423210,-0.029663,0.043053,-9.788700,-0.001790,-0.000737,-0.000148,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203426294,0.008114,0.009968,-9.845875,-0.000891,-0.002634,0.001129,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203429261,0.004108,0.000243,-9.803067,0.002295,0.001700,0.001287,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203432275,0.036148,0.045170,-9.749701,-0.001171,0.001860,0.001180,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203435397,0.069266,0.085022,-9.864073,0.000376,-0.001780,0.002263,0.259712,0.024955,0.366436,998.617065,0.000000,122.476440,0.000000
1703454203438255,0.058006,-0.049857,-9.775447,0.000403,0.000301,-0.002097,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203441302,0.009973,-0.013745,-9.762416,0.000167,-0.003089,-0.002648,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203444369,0.037661,0.053753,-9.781604,0.001813,-0.001592,0.001319,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203447244,-0.008251,0.045149,-9.866685,0.000920,0.001093,-0.000269,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203450341,0.022984,-0.007646,-9.880022,-0.000270,0.000655,-0.002791,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203453328,0.003217,0.023586,-9.800663,0.002711,-0.001454,-0.000662,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203456284,-0.009224,-0.008558,-9.847857,0.000588,0.001550,-0.001528,0.242039,0.033480,0.372529,998.680603,0.000000,121.940331,0.000000
1703454203459489,0.015687,0.022150,-9.844819,0.000754,0.000996,-0.000997,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203462273,-0.037262,0.005924,-9.855507,-0.000685,-0.000103,-0.000283,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203465315,0.082324,0.012476,-9.755168,-0.003098,-0.001418,0.000574,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203468333,0.020392,0.048308,-9.718608,0.001016,-0.000776,0.000373,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203471448,-0.042855,-0.043651,-9.829234,0.001029,-0.000254,0.001517,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203474493,-0.024827,0.004366,-9.786663,-0.000189,-0.002444,-0.000107,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
1703454203477265,-0.075098,-0.046802,-9.808608,0.000534,-0.001549,0.000177,0.250771,0.033244,0.363581,998.686646,0.000000,121.890152,0.000000
